CALENDAR_YEAR,LOCATION_ID,LOCATION,ETHNICITY,EXPERIENCING_HOMELESSNESS
2020,CA-508,Santa Cruz County CoC,Hispanic/Latinx,1045
2020,CA-508,Santa Cruz County CoC,Not Hispanic/Latinx,1252
2020,CA-508,Santa Cruz County CoC,Unknown,99
2020,CA-509,Mendocino County CoC,Hispanic/Latinx,182
2020,CA-509,Mendocino County CoC,Not Hispanic/Latinx,778
2020,CA-509,Mendocino County CoC,Unknown,14
2020,CA-510,Stanislaus County CoC,Hispanic/Latinx,1912
2020,CA-510,Stanislaus County CoC,Not Hispanic/Latinx,2893
2020,CA-510,Stanislaus County CoC,Unknown,*
2020,CA-511,San Joaquin County CoC,Hispanic/Latinx,2659
